 CURRENT_DATE,Mode Of Transportation,Incident Occurred Year,Incidents,Fatalities,Injuries,Damages
2026-07-16,FAA-AIR,2016,1204,0,9,1929865
2026-07-16,FMCSA-HIGHWAY,2016,16528,8,148,50182406
2026-07-16,FRA-RAILWAY,2016,541,0,17,27380862
2026-07-16,USCG-WATER,2016,11,0,8,53211
2026-07-16,FAA-AIR,2017,1166,0,3,27446
2026-07-16,FMCSA-HIGHWAY,2017,15746,10,130,43628714
2026-07-16,FRA-RAILWAY,2017,570,0,12,20613506
2026-07-16,USCG-WATER,2017,9,0,10,5497886
2026-07-16,FAA-AIR,2018,1433,0,8,75099
2026-07-16,FMCSA-HIGHWAY,2018,17927,6,131,92124193
2026-07-16,FRA-RAILWAY,2018,504,0,9,22158533
2026-07-16,USCG-WATER,2018,9,0,0,32500
2026-07-16,FAA-AIR,2019,1673,0,6,64891
2026-07-16,FMCSA-HIGHWAY,2019,20684,7,165,74910386
2026-07-16,FRA-RAILWAY,2019,413,0,11,17404584
2026-07-16,USCG-WATER,2019,6,0,0,15100
2026-07-16,FAA-AIR,2020,1639,0,4,6000
2026-07-16,FMCSA-HIGHWAY,2020,19881,3,121,28556366
2026-07-16,FRA-RAILWAY,2020,372,0,6,27350076
2026-07-16,USCG-WATER,2020,2,0,0,1750
2026-07-16,FAA-AIR,2021,1633,0,5,15420
2026-07-16,FMCSA-HIGHWAY,2021,23125,2,15,26187299
2026-07-16,FRA-RAILWAY,2021,398,0,8,22034656
2026-07-16,USCG-WATER,2021,5,0,0,0
2026-07-16,FAA-AIR,2022,1381,0,7,61660
2026-07-16,FMCSA-HIGHWAY,2022,23409,3,20,25630852
2026-07-16,FRA-RAILWAY,2022,367,0,8,23932821
2026-07-16,USCG-WATER,2022,5,0,0,3500
2026-07-16,FAA-AIR,2023,1121,0,5,3000
2026-07-16,FMCSA-HIGHWAY,2023,22828,12,58,35786311
2026-07-16,FRA-RAILWAY,2023,334,0,24,904740387
2026-07-16,USCG-WATER,2023,7,0,0,218000
2026-07-16,FAA-AIR,2024,2440,0,10,299707
2026-07-16,FMCSA-HIGHWAY,2024,24620,1,37,53321981
2026-07-16,FRA-RAILWAY,2024,348,0,53,28172838
2026-07-16,USCG-WATER,2024,11,0,1,34769
2026-07-16,FAA-AIR,2025,1658,0,50,55000
2026-07-16,FMCSA-HIGHWAY,2025,25448,2,64,47154601
2026-07-16,FRA-RAILWAY,2025,288,0,8,33949208
2026-07-16,USCG-WATER,2025,4,0,0,0
2026-07-16,FAA-AIR,2026,842,0,3,1847500
2026-07-16,FMCSA-HIGHWAY,2026,11910,3,24,16119281
2026-07-16,FRA-RAILWAY,2026,129,0,3,12411746
2026-07-16,USCG-WATER,2026,11,0,0,301000